variable,label,record_type,group,group_label,url,description,n_countries,n_samples
MIG1_P_RW,"Province of previous residence, Rwanda, 1991-2002; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_RW,MIG1_P_RW indicates the person's province of previous residence within Rwanda. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG1_P_SI,"Region of previous residence, Slovenia; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_SI,MIG1_P_SI indicates the person's region of previous residence in Slovenia. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG1_P_SR,"District of previous residence, Suriname; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_SR,MIG1_P_SR indicates the person's department of previous residence within Suriname. The migration could have occurred at any time in the past. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG1_P_SV,"Department of previous residence, El Salvador; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG1_P_SV,MIG1_P_SV indicates the person's department of previous residence within El Salvador. The migration could have occurred at any time in the past. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG1_P_TG,"Region of previous residence, Togo; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_TG,MIG1_P_TG indicates the person's region of previous residence in Togo. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG1_P_TH,"Province of previous residence, Thailand; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_TH,"MIG1_P_TH indicates the person's province of previous residence in Thailand, if they changed province within the last 5 years. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,4
MIG1_P_TT,"Region of previous residence, Trinidad and Tobago; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_TT,"MIG1_P_TT indicates the person's region of previous residence within Trinidad and Tobago. MIG1_P_TT is heavily harmonized, a lot more geographic detail can be found in the respective source variable. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,1
MIG1_P_UA,"Region of previous residence, Ukraine; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_UA,MIG1_P_UA indicates the region in Ukraine where the person lived previously. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG1_P_UG,"District of previous residence, Uganda; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_UG,MIG1_P_UG indicates the person's district of previous residence within Uganda. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG1_P_UY,"Department of previous residence, Uruguay; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_UY,MIG1_P_UY indicates the person's previous department of residence within Uruguay. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG1_P_VE,"State of previous residence, Venezuela; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_VE,MIG1_P_VE indicates the person's state of prior residence in Venezuela. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG1_P_ZA,"Province of previous residence, South Africa; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG1_P_ZA,MIG1_P_ZA indicates the person's province of previous residence. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2ALT_1_BF,"Province of residence 1 year ago, Burkina Faso 1985; GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2ALT_1_BF,MIG2ALT_1_BF indicates the person's province of residence in Burkina Faso 1 year ago in 1985. Migration province codes from MIG2ALT_1_BF are compatible with codes from GEO2_BF1985 . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2ALT_1_MA,"Province of residence 1 years ago, Morocco; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2ALT_1_MA,MIG2ALT_1_MA indicates the person's province of residence one year ago within Morocco. Migration province codes from MIG2ALT_1_MA are compatible with codes from GEO2ALT_MA . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2ALT_5_DO,"Municipality of residence 5 years ago, 2002 Dominican Republic; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2ALT_5_DO,MIG2ALT_5_DO indicates the municipality in Dominican Republic where the person lived 5 years ago. Migration municipality codes from MIG2ALT_5_DO are compatible with codes from GEO2_DO2002 . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2ALT_7_MA,"Province of residence 7 years ago, Morocco; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2ALT_7_MA,"MIG2ALT_7_MA indicates the person's province of residence seven years ago (at the time of the Green March (Nov 6, 1975) within Morocco. Migration province codes from MIG2ALT_7_MA are compatible with codes from GEO2ALT_MA . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,1
MIG2ALT_P_MA,"Province of previous residence, Morocco; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2ALT_P_MA,MIG2ALT_P_MA indicates the person's province of previous residence within Morocco. Migration province codes from MIG2ALT_P_MA are compatible with codes from GEO2ALT_MA . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2ALT_P_RW,"District of previous residence, Rwanda, 2002; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2ALT_P_RW,MIG2ALT_P_RW indicates the person's district of previous residence within Rwanda in 2002. Migration district codes from MIG2ALT_P_RW are compatible with codes from GEO2_RW2002 . Click on the Source Variables tab for information on place of residence for each sample. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_10_ES,"Province of residence 10 years ago, Spain; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_10_ES,MIG2_10_ES indicates the person's province of residence ten years ago within Spain. Migration district codes from MIG2_10_ES are compatible with codes from GEO2_ES . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
MIG2_10_LA,"District of residence 10 years ago, Laos; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_10_LA,"MIG2_10_LA indicates the person's district of residence, 10 years ago within Laos. Migration district codes for MIG2_10_LA are compatible with codes for GEO2_LA . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,2
MIG2_10_PH,"Municipality of residence 10 years ago, Philippines; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_10_PH,MIG2_10_PH indicates the person's municipality of residence 10 years ago within the Philippines. Migration administrative district codes from MIG2_10_PH are compatible with codes from GEO2_PH . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_10_SN,"Department of residence 10 years ago, Senegal; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_10_SN,MIG2_10_SN indicates the person's department of residence 10 years ago within Senegal. Migration department codes in MIG2_10_SN are compatible with codes in GEO2_SN . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_10_ZW,"District of residence 10 years ago, Zimbabwe; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_10_ZW,MIG2_10_ZW indicates the person's district of residence 10 years ago within Zimbabwe. Migration district codes for MIG2_10_ZW are compatible with codes for GEO2_ZW . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_11_CM,"Arrondissement/County of residence 11 years ago, Cameroon; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_11_CM,"MIG2_11_CM indicates the person's department of residence since the last census within Cameroon, which is 11 years ago. Migration department codes for MIG2_11_CM are compatible with codes for GEO2_CM . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,1
MIG2_14_SL,"Chiefdom of residence in 1990, Sierra Leone; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_14_SL,MIG2_14_SL indicates the person's chiefdom of residence in 1990 within Sierra Leone. Chiefdom codes for MIG2_14_SL are compatible with codes for GEO2_SL . The variable also includes information on foreign country of residence in 1990 for international migrants. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_1_AT,"European NUTS3 residence 1 year ago, Austria; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_1_AT,MIG2_1_AT indicates the person's ENUTS-3 of residence within Austria one year prior to the census. Migration ENUTS-3 codes in MIG2_1_AT are compatible with codes in GEO2_AT . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_1_BF,"Province of residence 1 year ago, Burkina Faso; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_1_BF,MIG2_1_BF indicates the person's province of residence in Burkina Faso 1 year ago. Migration province codes from MIG2_1_BF are compatible with codes from GEO2_BF . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_1_CI,"Department of residence 1 year ago, Cote d'Ivoire; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_1_CI,MIG2_1_CI indicates the person's department of residence 1 year ago within CÃ´te DâIvoire. Migration department codes from MIG2_1_CI are compatible with codes from GEO2_CI . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_1_ES,"Province of residence 1 year ago, Spain; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_1_ES,MIG2_1_ES indicates the person's province of residence one year ago within Spain.,1,66
MIG2_1_KE,"District of residence 1 year ago, Kenya; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_1_KE,MIG2_1_KE indicates the person's district of residence in Kenya 1 year ago. Migration district codes from MIG2_1_KE are compatible with codes from GEO2_KE . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,5
MIG2_1_MW,"Traditional authority of residence 1 years ago, Malawii; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_1_MW,MIG2_1_MW indicates the person's traditional authority (TA) of residence 1 year ago within Malawi. Migration traditional authority codes from MIG2_1_MW are compatible with codes from GEO2_MW . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_1_MZ,"District of residence one year ago, Mozambique; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_1_MZ,MIG2_1_MZ indicates the person's district of residence 1 year ago within Mozambique. Migration district codes in MIG2_1_MZ are compatible with codes in GEO2_MZ . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_1_SN,"Department of residence 1 years ago, Senegal; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_1_SN,MIG2_1_SN indicates the person's department of residence 1 years ago within Senegal. Migration department codes in MIG2_1_SN are compatible with codes in GEO2_SN . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_1_TZ,"District of residence 1 year ago, Tanzania; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_1_TZ,MIG2_1_TZ indicates the person's district of residence in Tanzania 1 year ago. Migration district codes for MIG2_1_TZ are compatible with codes for GEO2_TZ . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_1_ZM,"District of residenc 1 year ago, Zambia; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_1_ZM,MIG2_1_ZM indicates the person's district of residence in Zambia 1 year ago. Migration district codes for MIG2_1_ZM are compatible with codes for GEO2_ZM . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_5_AR,"Department of residence 5 years ago, Argentina; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_5_AR,MIG2_5_AR indicates the person's department of residence 5 years ago within Argentina. Migration department codes from MIG2_5_AR are compatible with codes from GEO2_AR . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_5_BO,"Province of residence 5 years ago, Bolivia; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_5_BO,MIG2_5_BO indicates the person's province of residence five years ago in Bolivia. Migration province codes in MIG2_5_BO are compatible with codes in GEO2_BO . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
MIG2_5_BR,"Municipality of residence 5 years ago, Brazil; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_5_BR,MIG2_5_BR indicates the person's municipality of residence 5 years ago within Brazil. Migration municipality codes from MIG2_5_BR are compatible with codes from GEO2_BR . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_5_CL,"Municipality of residence 5 years ago, Chile, 1982-2017; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_5_CL,MIG2_5_CL indicates the person's commune of residence five years ago in Chile. Migration commune codes in MIG2_5_CL are compatible with codes in GEO2_CL . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
MIG2_5_CM,"Arrondissement/Department of residence 5 years ago, Cameroon; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_5_CM,MIG2_5_CM indicates the person's department of residence 5 years ago within Cameroon. Migration department codes for MIG2_5_CM are compatible with codes for GEO2_CM . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_5_CO,"Municipality of residence 5 years ago, Colombia; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_5_CO,MIG2_5_CO indicates the person's municipality of residence five years ago in Colombia. Migration municipality codes from MIG2_5_CO are compatible with codes from GEO2_CO . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_5_CR,"Canton of residence 5 years ago, Costa Rica; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_5_CR,MIG2_5_CR indicates the person's canton of residence five years ago in Costa Rica. Migration canton codes for MIG2_5_CR are compatible with codes for GEO2_CR . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
MIG2_5_DO,"Municipality of residence 5 years ago, Dominican Republic; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_5_DO,MIG2_5_DO indicates the municipality in Dominican Republic where the person lived 5 years ago. Migration municipality codes from MIG2_5_DO are compatible with codes from GEO2_DO . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_5_EC,"Canton of residence 5 years ago, Ecuador; consistent boundaries, GIS",P,mig1,Migration: A-E,https://international.ipums.org/international-action/variables/MIG2_5_EC,MIG2_5_EC indicates the person's canton of residence five years ago in Ecuador. Migration canton codes for MIG2_5_EC are compatible with codes for GEO2_EC . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_5_ES,"Province of residence 5 years ago, Spain; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_5_ES,MIG2_5_ES indicates the person's province of residence five years ago within Spain. Migration province codes from MIG2_5_ES are compatible with codes from GEO2_ES . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_5_FJ,"Province of residence 5 years ago, Fijii; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_FJ,MIG2_5_FJ indicates the person's province of residence 5 years ago within Fiji. Migration canton codes from MIG2_5_FJ are compatible with codes from GEO2_FJ . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
MIG2_5_GH,"District of residence 5 years ago, Ghana; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_GH,MIG2_5_GH indicates the person's district of residence five years ago in Ghana. Migration district codes for MIG2_5_GH are compatible with codes for GEO2_GH . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_5_GT,"Municipality of residence 5 years ago, Guatemala; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_GT,"MIG2_5_GT indicates the person's municipality of residence, five years ago (for the 1973 and 1981 samples), four years ago (for the 1994 sample), or six years ago (for the 2002 sample) within Guatemala. Migration municipality codes for MIG2_5_GT are compatible with codes for GEO2_GT . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,4
MIG2_5_HN,"Municipality of residence 5 years ago, Honduras; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_HN,MIG2_5_HN indicates the person's municipality of residence within Honduras 5 year ago. Municipality codes for MIG2_5_HN are compatible with codes for GEO2_HN . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
MIG2_5_HT,"Arrondissement of residence 5 years ago, Haiti; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_HT,MIG2_5_HT indicates the arrondissement in Haiti in which the person lived 5 years ago. Migration arrondissement codes from MIG2_5_HT are compatible with codes from GEO2_HT . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_5_ID,"Regency of residence 5 years ago, Indonesia; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_ID,"MIG2_5_ID indicates the person's regency of residence 5 years ago within Indonesia. MIG2_5_ID is only available for the 1976, 1985, 1995, 2000, 2005, and 2010 samples. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,6
MIG2_5_IL,"Subdistrict of residence 5 years ago, Israel; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_IL,"MIG2_5_IL indicates the subdistrict in Israel in which the person lived 5 years ago. Migration subdistrict codes from MIG2_5_IL are compatible with codes from GEO2_IL , apart from Central District which is consolidated to a single area because of inconsistent geographic boundaries. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,3
MIG2_5_MU,"Municipal Ward/Village Council Areas (MVCA) of residence 5 years ago, Mauritius; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_MU,MIG2_5_MU indicates the person's Municipal Ward/Village Council Area (MVCA) of residence 5 years ago within Mauritius. Migration MVCA codes from MIG2_5_MU are compatible with codes from GEO2_MU . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_5_MX,"Municipality of residence 5 years ago, Mexico; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_MX,MIG2_5_MX indicates the person's municipality of residence 5 years ago within Mexico. Migration municipality codes from MIG2_5_MX are compatible with codes from GEO2_MX . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,5
MIG2_5_MY,"Administrative district of residence 5 years ago, Malaysia; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_MY,MIG2_5_MY indicates the person's administrative district of residence 5 years ago within Malaysia. Migration administrative district codes from MIG2_5_MY are compatible with codes from GEO2_MY . MIG2_5_MY is only available for the 1991 and the 2000 samples. Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_5_MZ,"District of residence five years ago, Mozambique; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_MZ,MIG2_5_MZ indicates the person's district of residence 5 years ago within Mozambique. Migration district codes for MIG2_5_MZ are compatible with codes for GEO2_MZ . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_5_NI,"Municipality of residence 5 years ago, Nicaragua; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_NI,"MIG2_5_NI indicates the person's municipality of residence, 5 years ago, within Nicaragua. Migration municipality codes for MIG2_5_NI are compatible with codes for GEO2_NI . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,3
MIG2_5_NP,"District of residence 5 years ago, Nepal; consistent boundaries, GIS",P,mig2,Migration: F-N,https://international.ipums.org/international-action/variables/MIG2_5_NP,MIG2_5_NP indicates the person's district of residence 5 years ago within Nepal. Migration district codes from MIG2_5_NP are compatible with codes from GEO2_NP . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_5_PE,"Province of residence 5 years ago, Peru; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_5_PE,MIG2_5_PE indicates the person's province of residence five years ago within Peru. Migration province codes from MIG2_5_PE are compatible with codes from GEO2_PE . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_5_PG,"District of residence 5 years ago, Papua New Guinea; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_5_PG,"MIG2_5_PG indicates the person's district of residence, 5 years ago, within Papua New Guinea. Migration district codes from MIG2_5_PG are compatible with codes from GEO2_PG . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,1
MIG2_5_PH,"Municipality of residence 5 years ago, Philippines; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_5_PH,MIG2_5_PH indicates the person's municipality of residence 5 years ago within the Philippines. Migration administrative district codes from MIG2_5_PH are compatible with codes from GEO2_PH . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,2
MIG2_5_PY,"District of residence 5 years ago, Paraguay; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_5_PY,MIG2_5_PY indicates the person's district of residence five years ago within Paraguay. Migration district codes from MIG2_5_PY are compatible with codes from GEO2_PY . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,4
MIG2_5_SL,"Chiefdom of residence 5 years ago, Sierra Leone; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_5_SL,MIG2_5_SL indicates the person's chiefdom of residence 5 years ago within Sierra Leone. Chiefdom codes from MIG2_5_SL are compatible with codes from GEO2_SL . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_5_SN,"Department of residence 5 years ago, Senegal; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_5_SN,MIG2_5_SN indicates the person's department of residence 5 years ago within Senegal. Migration department codes for MIG2_5_SN are compatible with codes for GEO2_SN . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,3
MIG2_5_VE,"Municipality of residence 5 years ago, Venezuela; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_5_VE,MIG2_5_VE indicates the person's district of residence five years ago within Venezuela. Migration district codes for MIG2_5_VE are compatible with codes for GEO2_VE . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.,1,1
MIG2_5_VN,"District of residence 5 years ago, Vietnam; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_5_VN,"MIG2_5_VN indicates the person's district of residence, 5 years ago within Vietnam. Migration district codes for MIG2_5_VN are compatible with codes for GEO2_VN . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,2
MIG2_8_PK,"District of residence 8 years ago, Pakistan; consistent boundaries, GIS",P,mig3,Migration: O-Z,https://international.ipums.org/international-action/variables/MIG2_8_PK,"MIG2_8_PK indicates the person's administrative division of residence, 8 years ago within Pakistan. Migration administrative division codes from MIG2_8_PK are compatible with codes from GEO2_PK . Click on the Source Variables tab for information on place of residence for each sample year. Source variables may contain more geographic unit detail but are not suitable for cross-temporal comparison.",1,1
